Date,Open,High,Low,Close,Adj Close,Volume
22-11-2023,390,391,381,384.5,384.5,3791369
23-11-2023,386,386,378,379.5,379.5,3416130
24-11-2023,381.5,383.5,376,383.5,383.5,3497234
27-11-2023,383.5,384,373,377,377,4526059
28-11-2023,379,385.5,377.5,385.5,385.5,4445793
29-11-2023,387,390.5,383.5,390,390,5253401
30-11-2023,388,393.5,382,393.5,393.5,9154943
01-12-2023,390,391.5,386.5,388,388,3971287
04-12-2023,391.5,391.5,385.5,387,387,2660945
05-12-2023,388,391,382.5,390.5,390.5,3188868
06-12-2023,390.5,395,388.5,393.5,393.5,2900244
07-12-2023,391,397,390.5,393.5,393.5,1805860
08-12-2023,398,403.5,395.5,398.5,398.5,3787748
11-12-2023,400,402,392,396.5,396.5,3086548
12-12-2023,396,399,392,393,393,2234258
13-12-2023,395.5,412,394,407.5,407.5,8206638
14-12-2023,410,416,404.5,411,411,4917108
15-12-2023,411,412,406,406,406,6241474
18-12-2023,409,434,403.5,428.5,428.5,8165193
19-12-2023,427,436,422,424.5,424.5,7021432
20-12-2023,428.5,460.5,428,450,450,16806479
21-12-2023,438.5,462,437.5,453.5,453.5,10906506
22-12-2023,452,457.5,444.5,453.5,453.5,5853517
25-12-2023,456,479,456,471.5,471.5,8903130
26-12-2023,473.5,477,466.5,472,472,4336709
27-12-2023,478,496,472,491.5,491.5,9912850
28-12-2023,496,502,487,492,492,8089203
29-12-2023,490,499,486,489.5,489.5,4588380
02-01-2024,494,498,479,485,485,5194473
03-01-2024,478,482,459,465,465,10195898
04-01-2024,465,467,450.5,454,454,7624903
05-01-2024,456.5,461.5,451,454,454,4484646
08-01-2024,459,463.5,452.5,453.5,453.5,3826856
09-01-2024,461.5,464,453.5,455,455,3803924
10-01-2024,455,464,451.5,461,461,4530081
11-01-2024,462,463,455,461,461,2982579
12-01-2024,459,459,445,448.5,448.5,4795879
15-01-2024,452,455,446,447,447,2865839
16-01-2024,445.5,445.5,439,440.5,440.5,3901068
17-01-2024,441,444.5,436.5,439,439,5024823
18-01-2024,439,452.5,439,445,445,4184150
19-01-2024,448,455,445.5,455,455,3728447
22-01-2024,456,465,455,459.5,459.5,4375940
23-01-2024,460,462.5,454.5,456.5,456.5,2468699
24-01-2024,457,461.5,454,455,455,2183777
25-01-2024,457,460.5,454.5,458,458,1994744
26-01-2024,453,453.5,436.5,439,439,5016318
29-01-2024,436,445,436,444,444,1878079
30-01-2024,443.5,451,439.5,447.5,447.5,3232059
31-01-2024,446,453,441,445.5,445.5,4398177
01-02-2024,447,448,442,447,447,1751067
02-02-2024,451,458,450,455,455,3347273
05-02-2024,450.5,455,448.5,452,452,2794974
15-02-2024,464,467,457,464,464,5637096
16-02-2024,462.5,488,462,479.5,479.5,7169458
19-02-2024,482.5,482.5,467.5,477.5,477.5,3304766
20-02-2024,475.5,479,470,473,473,2463412
21-02-2024,476,487,466,469,469,3397235
22-02-2024,473,477,462.5,469,469,3275876
23-02-2024,473,482.5,473,474,474,3540330
26-02-2024,472,473.5,464.5,470.5,470.5,2521995
27-02-2024,461.5,462,452,454.5,454.5,7718268
29-02-2024,450,462.5,448,455,455,6866605
01-03-2024,457,466,456,457,457,2445234
04-03-2024,460.5,467,457,457,457,2691780
05-03-2024,458,470,458,466,466,3392897
06-03-2024,465,471.5,462.5,471,471,2294789
07-03-2024,470,471,461,462,462,2120034
08-03-2024,461.5,461.5,451,452.5,452.5,2744642
11-03-2024,453,457,439.5,444,444,4069433
12-03-2024,442.5,446,437,441,441,3305674
13-03-2024,441,444.5,436,436,436,4213226
14-03-2024,435,436.5,428,433.5,433.5,3503740
15-03-2024,428,434.5,428,429,429,7039180
18-03-2024,429,433.5,401,408.5,408.5,11424776
19-03-2024,406.5,415,405,407.5,407.5,6400385
20-03-2024,409,419.5,409,414,414,4354430
21-03-2024,414.5,422,411.5,420,420,4461525
22-03-2024,424,436.5,420.5,421.5,421.5,5446782
25-03-2024,421.5,426.5,419.5,423.5,423.5,2200370
26-03-2024,421,426,416.5,417,417,3366314
27-03-2024,418,427.5,416.5,424.5,424.5,2593684
28-03-2024,423,430,418.5,423.5,423.5,3434543
29-03-2024,423.5,429,423,425.5,425.5,1127000
01-04-2024,431.5,432,423,423,423,2054891
02-04-2024,423.5,427,421.5,423,423,2317536
03-04-2024,420.5,425.5,419.5,422.5,422.5,2522455
